知的行動を代わる	に を 人間に 知的行動を
推論判断をする	を 推論判断を
記号処理を用いる	を 記号処理を
記述をする	と を 主体と 記述を
注目を集める	が を サポートベクターマシンが 注目を
経験を行う	に を を 元に 学習を 経験を
学習を行う	に を を 元に 学習を 経験を
流行を超える	を 流行を
学習を繰り返す	を 学習を
統計的学習をする	て で に を を を通して なされている ACT-Rでは 元に 推論ルールを 統計的学習を 生成規則を通して
進化を見せる	て て において は を 加えて 活躍している 生成技術において 敵対的生成ネットワークは 進化を
コンテンツ生成を行う	を コンテンツ生成を
開発を行う	は を エイダ・ラブレスは 開発を
テストをする	を テストを
処理を行う	を 処理を
知的処理を行う	に に により を Webに 同年に ティム・バーナーズリーにより 知的処理を
意味をする	に を データに 意味を
知的処理を行う	て に を 付加して コンピュータに 知的処理を
研究を進める	て を 費やして 研究を
命令をする	で を 機構で 命令を
運転をする	に を 元に 運転を
特許をする	が まで を 日本が 2018年までに 特許を
研究をする	を 研究を
運転をする	て に を 基づいて 柔軟に 運転を
注目を集める	から は を ことから ファジィは 注目を
ニューロファジィ制御をする	を ニューロファジィ制御を
成功を受ける	を 成功を
知的制御を用いる	て も を 受けて 他社も 知的制御を
制御をする	から を 少なさから 制御を
知的制御をする	を 知的制御を
進歩を担う	を 進歩を
精度改善を果たす	が で に を チームが 画像処理コンテストで 2012年に 精度改善を
専用プログラムを使う	を 専用プログラムを
研究を続ける	が て を ジェフホーキンスが 向けて 研究を
記号接地問題(シンボルグラウンディング問題)をする	に を 8月には 記号接地問題(シンボルグラウンディング問題)を
注目を集める	に を 急速に 注目を
普及を受ける	を 普及を
機械学習を組み合わせる	を 機械学習を
投資を行う	で に を 民間企業主導で 全世界的に 投資を
探索を行う	で を 無報酬で 探索を
推論をする	て を 経て 推論を
共同研究を始める	とも は を マックスプランク研究所とも Googleは 共同研究を
研究を行う	て て を 始めており 行っている 研究を
研究開発をする	で で を 中国では 官民一体で 研究開発を
実験をする	を 実験を
研究開発をする	で を 日本で 研究開発を
投資をする	は まで を 韓国は 2022年までに 投資を
深層学習をする	を 深層学習を
脳シミュレーションを行う	を 脳シミュレーションを
反乱を起こす	て に対して を 於いて 人間に対して 反乱を
弾圧を併せ持つ	を 弾圧を
監視を行う	に まで を 人工知能に 歩行者まで 監視を
法的手続きを経る	を を ウイグル族を 法的手続きを
差別を認める	を 差別を
研究をする	を 研究を
展開を変える	を 展開を
戦争をする	を 戦争を
ファジィ制御をする	は を AIプログラムは ファジィ制御を
判断を介す	から を 観点から 判断を
禁止を求める	が に を ヒューマン・ライツ・ウォッチが 4月には 禁止を
運用をめぐる	を 運用を
開発競争を行う	は を をめぐって 米国中国ロシアは 開発競争を 軍事利用をめぐって
記録をする	を 記録を
試験を行う	を 試験を
追及を受ける	て で で と とともに を 暴露されており 公聴会では 整合性で 拒否すると とともに 追及を
共同研究をする	が を Microsoftが 共同研究を
解任をする	て は を 含まれており Google社員らは 解任を
解散をする	が で は を 倫理委員会が 理由で Googleは 解散を
霊的存在を見いだす	に を ものに 霊的存在を
道)」をする	を 道)」を
実現をする	を 実現を
話をする	は を 哲学者は 話を
意思疎通を行う	を 意思疎通を
勘違いをする	を 勘違いを
議論を行う	まで を これまで 議論を
